country;cases;deaths;casesper1M;deathsper1M;tests;testsper1M;population 
China;93,005;4,636;65;3;160,000,000;111,163;1,439,323,776
India;31,695,368;424,808;22,726;305;468,216,510;335,716;1,394,679,506
USA;35,768,924;629,380;107,381;1,889;529,918,049;1,590,850;333,103,730
Indonesia;3,440,396;95,723;12,436;346;26,479,581;95,715;276,651,558
Pakistan;1,034,837;23,422;4,589;104;16,052,118;71,178;225,521,638
Brazil;19,938,358;556,886;93,085;2,600;55,034,721;256,938;214,194,612
Nigeria;174,315;2,149;824;10;2,439,850;11,528;211,646,926
Bangladesh;1,264,328;20,916;7,595;126;7,790,423;46,799;166,464,023
Russia;6,288,677;159,352;43,072;1,091;165,800,000;1,135,599;146,002,264
Mexico;2,848,252;240,906;21,843;1,847;8,470,246;64,957;130,397,740
Japan;925,710;15,192;7,344;121;18,473,804;146,552;126,056,705
Ethiopia;280,565;4,390;2,377;37;3,023,600;25,617;118,033,171
Philippines;1,597,595;28,016;14,372;252;16,738,223;150,581;111,157,453
Egypt;284,311;16,528;2,723;158;3,068,679;29,388;104,417,872
Vietnam;154,306;1,306;1,570;13;11,890,084;120,974;98,286,044
DRC;50,104;1,038;542;11;266,843;2,885;92,492,461
Turkey;5,747,935;51,428;67,369;603;68,120,075;798,402;85,320,484
Iran;3,903,519;90,996;45,840;1,069;25,857,430;303,651;85,155,038
Germany;3,778,276;92,172;44,940;1,096;67,083,026;797,904;84,074,082
Thailand;615,314;4,990;8,791;71;8,129,670;116,155;69,989,687
UK;5,880,667;129,719;86,136;1,900;244,114,700;3,575,616;68,272,074
France;6,146,619;111,885;93,942;1,710;105,215,767;1,608,067;65,429,963
Tanzania;1,017;21;17;0.3;;;61,566,610
Italy;4,355,348;128,068;72,150;2,122;77,711,955;1,287,358;60,365,464
South Africa;2,456,184;72,191;40,857;1,201;14,901,093;247,868;60,117,017
Kenya;203,680;3,946;3,700;72;2,137,572;38,830;55,048,871
Myanmar;302,665;9,731;5,523;178;3,169,465;57,832;54,804,575
Colombia;4,794,414;120,998;93,151;2,351;22,609,561;439,282;51,469,401
S. Korea;199,787;2,098;3,893;41;11,751,786;229,004;51,316,990
Uganda;94,195;2,696;1,992;57;1,473,950;31,165;47,295,576
Spain;4,447,044;81,486;95,074;1,742;55,855,941;1,194,156;46,774,400
